상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,resident_pop_2024_high10,floating_pop_2024_high25,floating_pop_2024_high10,estimated_sales_2024_high25,estimated_sales_2024_high10,is_active_25,is_active_10,log_resident_pop_2024,z_resident_pop_2024,log_floating_pop_2024,z_floating_pop_2024,log_estimated_sales_2024,z_estimated_sales_2024,score,상권_코드_명,시군구명,행정동명,lat,lon
3110054,42716,25759082,29131764135,False,False,False,False,False,False,False,False,10.662352246449103,0.2835459329314174,17.064297860740723,0.5895138774766808,24.095094966880453,0.3463572190383373,0.4064723431488118,청구역 3번,중구,청구동,37.55678200538456,127.01328715623751
3110055,6210,12551034,2603316409,False,False,False,False,False,False,False,False,8.734077192559303,-1.0358808375004926,16.345313690261115,-0.0359619905285916,21.68005201146856,-0.9004837778572035,-0.6574422019620959,황학동벼룩시장,중구,황학동,37.569882244882365,127.01858545148782
3110056,108592,47917598,29294716024,True,False,True,True,False,False,True,False,11.595362227682632,0.92196022130609,17.684993406175636,1.1294841591435694,24.100672996262453,0.3492370500988081,0.8002271435161559,신당역 3번,중구,신당5동,37.562852393453255,127.02099900364308
3110057,37066,19595663,12449331563,False,False,False,False,False,False,False,False,10.52048236489583,0.1864711306298511,16.790818875237203,0.3516025118830391,23.244932768777232,-0.0925654428673325,0.1485027332151859,황학코아루아파트,중구,황학동,37.56630025938626,127.02278200140091
3110058,82986,37485250,71949647596,True,False,True,False,True,False,True,False,11.3264392480055,0.7379490358403237,17.43945810690862,0.9158822319515904,24.999232372380373,0.8131462595719049,0.8223258424546064,성심여자고등학교,용산구,원효로2동,37.53374816668299,126.9542212370095
3110059,37396,16265458,6554421140,False,False,False,False,False,False,False,False,10.529345766281573,0.1925359340103858,16.60455433759593,0.1895628201300737,22.603405642253534,-0.4237737636874121,-0.0138916698489842,새남터성지,용산구,이촌2동,37.52574706950593,126.95570052896888
3110060,74642,20782412,20325261054,True,False,False,False,False,False,False,False,11.220472027639556,0.6654407144486019,16.849617658164256,0.4027541523488076,23.73513033633224,0.1605142890837762,0.4095697186270619,효창공원앞역 6번,용산구,용문동,37.53824999371234,126.95857561352727
3110061,84694,33653554,5536730037,True,False,True,False,False,False,True,False,11.346811847020485,0.7518890349444038,17.33162925483441,0.822077183639972,22.43466991759357,-0.5108888266619518,0.354359130640808,효창동주민센터,용산구,효창동,37.542112994630955,126.95936173604585
3110062,26962,20253154,44483395377,False,False,False,False,False,False,False,False,10.202220834799924,-0.031300074759169,16.823821141850015,0.3803126312477258,24.518381818912424,0.5648922141934465,0.3046349235606677,한강로동땡땡거리(은행나무길),용산구,한강로동,37.524985846403695,126.96202829648128
3110063,60784,22067999,33506798687,False,False,False,False,False,False,False,False,11.015098326989897,0.524913273597666,16.90963915337446,0.4549694838637336,24.235014201097144,0.4185948730662533,0.4661592101758843,효창공원앞역 5번,용산구,용문동,37.537475048352285,126.96268086058419
3110064,64278,34419434,41655078147,False,False,True,False,False,False,False,False,11.070988262792044,0.5631560944785977,17.354131933737868,0.8416532510938562,24.452689122448824,0.5309763175987785,0.6452618877237442,효창공원앞역 2번,용산구,효창동,37.54232836107075,126.96397710533971
3110065,3674,1790398,205334865855,False,False,False,False,True,True,False,False,8.209308411646937,-1.394955118125534,14.397949058005237,-1.730059904910365,26.047907975368386,1.3545576375018695,-0.5901524618446766,남정초등학교,용산구,원효로1동,37.536449510708785,126.96429007172259
3110066,60994,38212916,20823599726,False,False,True,False,False,False,False,False,11.01854717258284,0.5272731543590942,17.458684157781153,0.9326078169527028,23.75935278273861,0.1730198799913347,0.5443002837677106,서울역 15번,용산구,청파동,37.55314772180965,126.96693852227357
3110067,170616,56192814,16753242210,True,True,True,True,False,False,True,True,12.047176557375272,1.2311152459788743,17.84429945971571,1.2680714830480788,23.541857641322053,0.0607312524387451,0.8533059938218995,배문고등학교,용산구,청파동,37.54909901842276,126.9673667470635
3110068,79892,42591015,36214150479,True,False,True,False,False,False,True,False,11.288443518404538,0.7119503679135303,17.56715389697997,1.0269704010864098,24.312715776635283,0.4587107267769399,0.7325438319256267,남영역 1번,용산구,원효로1동,37.54062400698202,126.96726023239593
3110069,116926,58466510,81192788648,True,False,True,True,True,False,True,False,11.669305087429624,0.9725557981329876,17.883964686744957,1.3025780039485242,25.120092270428845,0.8755439388470339,1.0502259136428485,숙대입구,용산구,청파동,37.545222628819765,126.96787375825271
3110070,2384,1408873,825116515,False,False,False,False,False,False,False,False,7.776954403322442,-1.6907943718337244,14.158301361757951,-1.938539947976885,20.531035165841875,-1.4936994413883753,-1.7076779203996617,용산세무서,용산구,한강로동,37.52375650158275,126.9681924306217
3110071,11282,1770767,6635284290,False,False,False,False,False,False,False,False,9.331052447138449,-0.627399106334488,14.386923908748448,-1.7396511658649387,22.615667350986744,-0.4174432754009436,-0.9281645158667904,한강미주맨션아파트,용산구,이촌1동,37.520748769596494,126.96870860607095
3110072,2584,7040878,18138472585,False,False,False,False,False,False,False,False,7.85748078694253,-1.6356940032114764,15.767243578294664,-0.5388505378646635,23.62130107665497,0.1017463954138733,-0.6909327152207555,열정도,용산구,원효로1동,37.539029968695814,126.9688470077538
3110073,10612,4617679,1193589068,False,False,False,False,False,False,False,False,9.269834943761822,-0.6692873279402117,15.345402972428936,-0.9058281848658905,20.90023062936245,-1.3030908069730938,-0.9594021065930654,삼각지역 3번,용산구,한강로동,37.53124880518786,126.97260383717465
3110074,69706,18683589,44599408117,False,False,False,False,False,False,False,False,11.152056022121888,0.6186269007118461,16.743156156454138,0.3101386220974784,24.52098642498751,0.5662369230434079,0.4983341486175774,서울역 12번,용산구,남영동,37.55101101192988,126.97415420415223
3110075,69432,21830069,13285500734,False,False,False,False,False,False,False,False,11.148117537801308,0.6159319834919096,16.898798935117412,0.4455391024977979,23.309939107205494,-0.0590038999437205,0.3341557286819956,숙대입구역 1번,용산구,남영동,37.546935629616925,126.97373651039025
3110076,432,1527828,4407798106,False,False,False,False,False,False,False,False,6.07073772800249,-2.858277171050153,14.239358331451337,-1.86802493449192,22.206641106250828,-0.6286157887511207,-1.7849726314310643,삼각지역 14번,용산구,한강로동,37.534976547668975,126.97439877407467
3110077,27628,12685990,6073018430,False,False,False,False,False,False,False,False,10.22662122471816,-0.0146040501945439,16.356008871732246,-0.0266577830247358,22.527121588765855,-0.4631577775761396,-0.1681398702651398,삼광초등학교,용산구,후암동,37.54847392832047,126.97644954389575
3110078,10226,2687856,16827239496,False,False,False,False,False,False,False,False,9.232786560806012,-0.6946377716824053,14.804254779805277,-1.3765967349926398,23.54626480893894,0.0630065897169539,-0.669409305652697,이촌동점보아파트,용산구,이촌1동,37.51827249562902,126.97815009173515
3110079,224566,56119114,38322796863,True,True,True,True,False,False,True,True,12.32192938261975,1.4191155170750964,17.842987043295146,1.2669297544349312,24.369310774442013,0.4879296536397167,1.0579916417165816,후암동주민센터,용산구,후암동,37.55010410038833,126.97920160433586
3110080,89762,42582644,9159497807,True,False,True,False,False,False,True,False,11.404928142657898,0.7916552478130804,17.566957333865773,1.0267994022111653,22.938057189675387,-0.2509994997493491,0.5224850500916322,해방촌예술마을,용산구,후암동,37.547329038857,126.98323071762681
3110081,72966,42107166,37134001165,False,False,True,False,False,False,False,False,11.197762563128435,0.6499017095967246,17.55572852169354,1.01703096595281,24.337798860331485,0.4716606484381276,0.7128644413292208,해방촌 남동측,용산구,용산2가동,37.54391586705829,126.98617951680903
