상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,resident_pop_2024_high10,resident_pop_2024_high50,floating_pop_2024_high25,floating_pop_2024_high10,floating_pop_2024_high50,estimated_sales_2024_high25,estimated_sales_2024_high10,estimated_sales_2024_high50,is_active_25,is_active_10,is_active_50,상권_코드_명
3110124,18104,9555767,10865851251,False,False,False,False,False,False,False,False,False,False,False,False,뚝섬역교차로
3110125,94150,23524259,11511221149,True,False,True,False,False,True,False,False,False,False,False,False,사근동살곶이상점가
3110126,12634,6803065,1399329146,False,False,False,False,False,False,False,False,False,False,False,False,서울숲역 1번
3110127,20556,3772806,5656522214,False,False,False,False,False,False,False,False,False,False,False,False,성수1가1동주민센터
3110128,164758,36229987,71175647728,True,True,True,True,False,True,True,False,True,True,False,True,성원중학교
3110129,34342,5596451,8803889318,False,False,False,False,False,False,False,False,False,False,False,False,성원어린이공원
3110130,29502,12009552,1196452922,False,False,False,False,False,False,False,False,False,False,False,False,답십리역 6번
3110131,56578,22557702,236500109673,False,False,True,False,False,True,True,True,True,False,False,True,성수동카페거리
3110132,43244,14614706,3150210779,False,False,True,False,False,False,False,False,False,False,False,False,성수2가3동주민센터
3110133,39072,11340318,3487994957,False,False,True,False,False,False,False,False,False,False,False,False,서울교통공사
3110134,123158,41518825,26238419565,True,True,True,True,False,True,False,False,True,True,False,True,성수119안전센터
3110135,24874,6883720,6512423730,False,False,False,False,False,False,False,False,False,False,False,False,성동세무서
3110136,52456,27350848,58438309522,False,False,True,False,False,True,True,False,True,False,False,True,경수초등학교
3110137,35314,35571025,138707176203,False,False,False,True,False,True,True,False,True,True,False,False,성수초등학교
3110138,75536,29578150,10405150772,True,False,True,True,False,True,False,False,False,True,False,False,송정체육공원
3110139,116732,51403836,21018693230,True,False,True,True,True,True,False,False,True,True,False,True,자양4동주민센터
3110140,113102,55889927,42569205769,True,False,True,True,True,True,False,False,True,True,False,True,건대입구역 6번
3110141,66146,43016250,17649369401,False,False,True,True,False,True,False,False,True,False,False,True,건대입구역 1번
3110142,132968,46474458,29200367996,True,True,True,True,False,True,False,False,True,True,False,True,화양사거리
3110143,2484,4297021,7284714004,False,False,False,False,False,False,False,False,False,False,False,False,뚝섬유원지역 1번
3110144,45528,10218546,4085631190,False,False,True,False,False,False,False,False,False,False,False,False,어린이대공원역 4번
3110145,12364,5511241,1723822438,False,False,False,False,False,False,False,False,False,False,False,False,장안초등학교
3110146,83702,39139938,13080167666,True,False,True,True,False,True,False,False,False,True,False,False,신자초등학교
3110147,137324,30037156,43921298634,True,True,True,True,False,True,False,False,True,True,False,True,능동우편취급국
3110148,33408,14439057,8591891312,False,False,False,False,False,False,False,False,False,False,False,False,어린이대공원역 3번
3110149,22714,6701278,1925702335,False,False,False,False,False,False,False,False,False,False,False,False,세종대학교
3110150,133618,44362496,12727579529,True,True,True,True,False,True,False,False,False,True,False,False,중곡1동 마을마당
3110151,102066,34740054,26391083737,True,False,True,True,False,True,False,False,True,True,False,True,자양한강도서관
3110152,45024,6987832,6389162737,False,False,True,False,False,False,False,False,False,False,False,False,중곡어린이공원
3110153,54402,9899338,687944153,False,False,True,False,False,False,False,False,False,False,False,False,중곡1동주민센터
3110154,96558,47490990,31428357581,True,False,True,True,False,True,False,False,True,True,False,True,광진정말공원
3110155,89730,24041356,7038498120,True,False,True,False,False,True,False,False,False,False,False,False,광진구청
3110156,135266,27321076,15450804206,True,True,True,False,False,True,False,False,False,False,False,False,군자역 5번
3110157,125786,32091666,11269714784,True,True,True,True,False,True,False,False,False,True,False,False,자양동우체국
3110158,146762,66124555,31423225593,True,True,True,True,True,True,False,False,True,True,True,True,중곡3동주민센터
3110159,194822,89609375,46753158045,True,True,True,True,True,True,False,False,True,True,True,True,구의역 4번
3110160,40664,13882960,1230067825,False,False,True,False,False,False,False,False,False,False,False,False,광진경찰서
3110161,107210,26075954,20657879630,True,False,True,False,False,True,False,False,True,False,False,True,중곡역 3번
3110162,82416,13375281,6218661046,True,False,True,False,False,False,False,False,False,False,False,False,군자역 4번
3110163,63890,15975961,16702089971,False,False,True,False,False,True,False,False,False,False,False,False,성자초등학교
3110164,72330,12278932,13843514116,False,False,True,False,False,False,False,False,False,False,False,False,아차산역 5번
3110165,92028,22925692,20889937293,True,False,True,False,False,True,False,False,True,False,False,True,국립정신건강센터
3110166,135100,48790331,39612321556,True,True,True,True,True,True,False,False,True,True,True,True,구의1동주민센터
3110167,150210,41192056,31518284624,True,True,True,True,False,True,False,False,True,True,False,True,용마초등학교
3110168,56352,16705962,4635875075,False,False,True,False,False,True,False,False,False,False,False,False,대원고등학교
3110169,55532,15041935,6716196317,False,False,True,False,False,False,False,False,False,False,False,False,성동초등학교
3110170,137088,62228019,9019834205,True,True,True,True,True,True,False,False,False,True,True,False,동대부여고
3110171,53028,11119069,380524832,False,False,True,False,False,False,False,False,False,False,False,False,중곡4동주민센터
3110172,86568,25936651,10336169751,True,False,True,False,False,True,False,False,False,False,False,False,광진초등학교
3110173,30340,10753407,5296319613,False,False,False,False,False,False,False,False,False,False,False,False,구남초등학교
3110174,104790,20769674,19304086228,True,False,True,False,False,True,False,False,True,False,False,True,아차산역 1번
3110175,107194,32204763,4715235542,True,False,True,True,False,True,False,False,False,True,False,False,푸른동산공원
3110176,133378,34292717,9690761555,True,True,True,True,False,True,False,False,False,True,False,False,해오름공원
3110177,34362,3618131,1122710555,False,False,False,False,False,False,False,False,False,False,False,False,동의초등학교
3110178,25214,8157829,2311823776,False,False,False,False,False,False,False,False,False,False,False,False,장로회신학대학교
3110179,22172,12059039,21902462707,False,False,False,False,False,False,False,False,True,False,False,False,광나루역 1번
